2013-03-07 10:12:13 255ms | Event (core/after_page_processed) triggered.
2013-03-07 10:13:59 195ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:13:59 740ms | Event (core/after_page_processed) triggered.
2013-03-07 10:14:37 687ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:14:38 228ms | Event (core/after_page_processed) triggered.
2013-03-07 10:16:01 914ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:16:02 527ms | Event (core/after_page_processed) triggered.
2013-03-07 10:16:07 117ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:16:07 752ms | Event (core/after_page_processed) triggered.
2013-03-07 10:16:21 96ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:16:21 650ms | Event (core/after_page_processed) triggered.
2013-03-07 10:16:24 245ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:16:31 138ms | Event (core/after_page_processed) triggered.
2013-03-07 10:16:34 243ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:16:34 578ms | Event (core/after_page_processed) triggered.
2013-03-07 10:16:37 452ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:16:37 880ms | Event (core/after_page_processed) triggered.
2013-03-07 10:16:40 289ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:16:40 494ms | Event (core/after_page_processed) triggered.
2013-03-07 10:16:43 26ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:16:43 304ms | Event (core/after_page_processed) triggered.
2013-03-07 10:16:46 172ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:16:46 724ms | Event (core/after_page_processed) triggered.
2013-03-07 10:16:49 429ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:16:49 758ms | Event (core/after_page_processed) triggered.
2013-03-07 10:16:53 161ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:16:53 394ms | Event (core/after_page_processed) triggered.
2013-03-07 10:19:24 789ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:19:25 6ms | Event (core/after_page_processed) triggered.
2013-03-07 10:20:06 777ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:20:07 5ms | Event (core/after_page_processed) triggered.
2013-03-07 10:21:01 595ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:21:01 798ms | Event (core/after_page_processed) triggered.
2013-03-07 10:23:05 895ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:23:06 137ms | Event (core/after_page_processed) triggered.
2013-03-07 10:23:33 20ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:23:33 224ms | Event (core/after_page_processed) triggered.
2013-03-07 10:24:06 367ms | Event (core/after_facebook_initialization) triggered.
